央视,#genre#
CCTV1,https://cntv.sbs/tv?auth=230830&id=cctv1
CCTV2,https://cntv.sbs/tv?auth=230830&id=cctv2
CCTV3,https://cntv.sbs/tv?auth=230830&id=cctv3
CCTV4,https://cntv.sbs/tv?auth=230830&id=cctv4
CCTV5,https://cntv.sbs/tv?auth=230830&id=cctv5
CCTV6,https://cntv.sbs/tv?auth=230830&id=cctv6
CCTV7,https://cntv.sbs/tv?auth=230830&id=cctv7
CCTV8,https://cntv.sbs/tv?auth=230830&id=cctv8
CCTV9,https://cntv.sbs/tv?auth=230830&id=cctv9
CCTV10,https://cntv.sbs/tv?auth=230830&id=cctv10
CCTV11,https://cntv.sbs/tv?auth=230830&id=cctv11
CCTV12,https://cntv.sbs/tv?auth=230830&id=cctv12
CCTV13,https://cntv.sbs/tv?auth=230830&id=cctv13
CCTV14,https://cntv.sbs/tv?auth=230830&id=cctv14
CCTV15,https://cntv.sbs/tv?auth=230830&id=cctv15
CCTV16,https://cntv.sbs/tv?auth=230830&id=cctv16
CCTV16,https://cntv.sbs/tv?auth=230830&id=cctv164k
CCTV17,https://cntv.sbs/tv?auth=230830&id=cctv17
CCTV5+,https://cntv.sbs/tv?auth=230830&id=cctv5p
CCTV4K,https://cntv.sbs/tv?auth=230830&id=cctv4k


香港,#genre#
珠江,http://60.208.16.27:1505/gudou.php?id=364&id=gdzhujiangHD_7500
珠江,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
珠江,http://113.117.74.28:8081/hls/139/index.m3u8
珠江,http://218.19.13.245:9901/tsfile/live/1001_1.m3u8
翡翠,http://www.namewee.xyz/gudou.php?id=1350
翡翠,http://60.208.16.27:1505/gudou.php?id=364&id=1350_4500
翡翠,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxA5oJl8b5Icz-0MXK7POxcc/ts
翡翠,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxCgMBzU9XfDMGLwaGxto_X4/ts
翡翠,http://line.gofast-tv.me:80/play/live.php?mac=00:1A:79:6F:5A:5D&stream=153505&extension=ts&play_token=u4yRheiuaw
翡翠,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
翡翠,http://r.jdshipin.com/n90gt
翡翠,http://r.jdshipin.com/qClQf
翡翠,http://r.jdshipin.com/62WM7
翡翠,http://r.jdshipin.com/qrfbg
翡翠,http://113.117.74.20:8081/hls/25/index.m3u8
翡翠,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1350_4500
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
J2,http://r.jdshipin.com/Nr5jq
无线新闻,https://tvp22.sky4k.top/index1.php
无线新闻,https://tvp22.sky4k.top/index1.php?checkedby:iptvcat.com
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线新闻,http://line.gofast-tv.me:80/play/live.php?mac=00:1A:79:6F:5A:5D&stream=153399&extension=ts&play_token=mad8wXPonE
无线新闻,http://kkwk1122.top/tvvb.php?id=0&hq
无线新闻,http://kkwk1122.top/tvvb.php?id=0
无线新闻,http://kkwk1122.top/tvvb.php?id=1
